"County","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Alameda",1465564,1468468,1467187,1465540,1459882,1464839,1476401,1491781,1503827,1515326,1532382,1554881,1578201,1601057,1621715,1637766,1651319
"Alpine",1237,1248,1249,1266,1208,1255,1248,1208,1180,1175,1170,1166,1164,1161,1154,1151,1146
"Amador",35784,36535,36776,37147,37722,37964,38085,37864,37905,37632,36928,36533,36169,36414,36395,36862,37405
"Butte",205730,208154,210623,212212,213698,215684,217115,218485,219287,220202,220636,221823,222541,223978,224533,225094,226661
"Calaveras",41428,42119,43186,43924,44773,45316,45638,45702,45562,45542,45399,45296,45117,45014,44907,44763,44656
"Colusa",19068,19391,19685,20184,20565,20893,21119,21172,21270,21465,21625,21800,22001,22177,22299,22476,22632
"Contra Costa",970496,978795,989705,998201,1004230,1010104,1021251,1033292,1043501,1051654,1064068,1076085,1091717,1104027,1118276,1130074,1138201
"Del Norte",27418,27615,27871,28187,28315,28276,28480,28571,28559,28391,28223,28015,27599,27250,27125,26992,26811
"El Dorado",161880,164725,167670,170304,173181,175258,177195,178599,179701,181014,180972,181245,182708,182748,183358,184335,186556
"Fresno",815003,828637,845917,860226,871910,886376,899826,913239,923895,932508,941979,950480,960428,969688,980216,988985,1000143
"Glenn",26611,26792,27156,27264,27525,27731,28013,28120,28056,28188,28373,28516,28710,28857,28965,29068,29205
"Humboldt",127348,128755,130179,131243,131689,132226,132657,133201,133766,135000,135395,134893,135152,134822,135175,135978,135865
"Imperial",144726,147185,150909,153937,157657,162532,166894,170104,173241,175195,177747,179331,180397,182987,185048,186492,187943
"Inyo",18207,18415,18507,18559,18463,18421,18447,18383,18448,18547,18559,18584,18591,18650,18635,18628,18566
"Kern",679674,696504,717797,740022,761972,786220,805798,819891,831134,841576,849617,857941,869359,876726,883799,888208,897949
"Kings",132441,134664,138772,142617,144601,147496,150378,151834,151794,152166,151441,150047,150499,149581,149906,149312,150992
"Lake",60046,61005,61981,62633,63107,63792,63986,64370,64396,64954,64823,64929,64944,65195,64859,64584,64930
"Lassen",33650,33603,34053,34574,34528,35011,35749,35120,34773,34790,34525,33022,32347,31878,30987,30594,30604
"Los Angeles",9635795,9722444,9791022,9822508,9809557,9787327,9773894,9796812,9805233,9838592,9902197,9990748,10067904,10126977,10181066,10215207,10261736
"Madera",126456,128484,132814,136488,139868,143528,146806,149114,150151,150144,151491,150790,152391,154032,154704,155384,156915
"Marin",247731,247382,247280,246684,246686,247247,248802,250288,251230,252290,254510,255966,259083,261128,261641,262495,262092
"Mariposa",17269,17461,17764,17872,18057,18244,18376,18385,18281,18245,18241,18224,18157,18135,18086,18066,17992
"Mendocino",87140,87507,88017,88239,88016,87584,87646,87782,87569,87674,87251,88011,88192,88485,88315,88766,89071
"Merced",217319,222733,229182,235549,240600,245555,249538,251932,254123,256813,260117,262971,265117,267710,269917,272268,276611
"Modoc",9434,9400,9511,9602,9588,9639,9590,9623,9632,9688,9682,9633,9610,9585,9542,9502,9488
"Mono",13213,13383,13574,13726,13799,14151,14212,14073,14075,14025,14297,14137,13950,13980,13888,13805,13846
"Monterey",406264,408599,411941,411121,407974,405877,407896,410877,413590,414945,419448,423950,426955,429798,435343,439739,442196
"Napa",126188,127942,129422,130204,130740,131920,133155,134786,135664,136295,137238,138660,139490,140629,141243,141524,141205
"Nevada",93515,94580,95974,97107,97802,98334,98480,98680,98432,98531,98426,98088,97918,98412,98211,98348,98554
"Orange",2889908,2914438,2939719,2956482,2957151,2955433,2965823,2982788,2998816,3014684,3049097,3084336,3115335,3139814,3164230,3181654,3205855
"Placer",264925,276817,290655,302815,312630,322270,329719,337914,344088,350059,355360,359721,364744,368423,371548,376589,382977
"Plumas",20706,20695,20747,20899,20859,20710,20596,20368,20063,19982,19935,19884,19774,19720,19632,19590,19550
"Riverside",1622454,1688407,1772427,1856879,1934723,2017350,2082656,2122920,2158399,2196103,2228021,2253312,2280356,2307770,2334159,2362271,2392511
"Sacramento",1265767,1293483,1320963,1342899,1358168,1372275,1388086,1400939,1411403,1421459,1434097,1445418,1458148,1474705,1490025,1505194,1520685
"San Benito",54696,55199,55458,55287,55153,54895,55000,55043,55093,55467,56008,56684,57342,58048,58673,59550,60291
"San Bernardino",1763780,1800849,1850075,1900210,1942734,1976767,2002651,2016526,2022319,2043503,2065112,2077942,2095207,2112501,2130075,2144867,2163561
"San Diego",2870096,2910445,2943961,2963390,2970135,2982816,3014165,3051262,3077633,3101068,3135961,3173996,3212859,3249273,3275897,3297202,3320387
"San Francisco",782223,783255,781870,780699,779655,782928,791334,798673,801799,809728,820315,833208,845191,854593,864942,872876,880955
"San Joaquin",588581,603544,621108,638522,651625,660885,669737,675248,680421,687990,694454,700705,707177,717846,728472,738761,749810
"San Luis Obispo",251652,253549,255609,258483,259943,261803,264162,266850,268224,269044,270401,272643,273992,276277,276859,278364,278680
"San Mateo",707460,704897,703062,701401,699277,699398,704272,711374,716264,720660,729485,740902,750115,757061,764850,768573,771902
"Santa Barbara",403442,406132,409512,411190,411683,412853,416648,419970,422423,423560,425331,430269,435844,440184,444533,447386,450138
